Sample,Group,env
s21004-1-1_kw210913_bmud_slee_01,seagrass,Saiki
s21004-1-2_kw210913_bmud_slee_02,seagrass,Saiki
s21004-1-3_kw210913_bmud_slee_03,seagrass,Saiki
s21004-1-4_kw210913_bmud_slee_04,seagrass,Saiki
s21004-1-5_kw210913_bmud_slee_05,seagrass,Saiki
s21004-1-6_kw210913_bmud_slee_06,seagrass,Saiki
s21004-2-1_kw210913_wout_slee_01,non,Saiki
s21004-2-2_kw210913_wout_slee_02,non,Saiki
s21004-2-3_kw210913_wout_slee_03,non,Saiki
s21004-2-4_kw210913_wout_slee_04,non,Saiki
s21004-2-5_kw210913_wout_slee_05,non,Saiki
s21004-2-6_kw210913_wout_slee_06,non,Saiki
s21004-5-1_kw210929_kwout_1_slee_01,seagrass,Saiki
s21004-5-2_kw210929_kwout_1_slee_02,seagrass,Saiki
s21004-5-3_kw210929_kwout_2_slee_01,seagrass,Saiki
s21004-5-4_kw210929_kwout_2_slee_02,seagrass,Saiki
s21004-5-5_kw210929_kwout_3_slee_01,seagrass,Saiki
s21004-5-6_kw210929_kwout_3_slee_02,seagrass,Saiki
s2215_1_kw2209_bmud_slee_1,seagrass,Saiki
s2215_1_kw2209_bmud_slee_2,seagrass,Saiki
s2215_1_kw2209_bmud_slee_3,seagrass,Saiki
s2215_1_kw2209_bmud_slee_4,seagrass,Saiki
s2215_1_kw2209_bmud_slee_5,seagrass,Saiki
s2215_1_kw2209_bmud_slee_6,seagrass,Saiki
s2215_2_kw2209_wout1_slee_1,seagrass,Saiki
s2215_2_kw2209_wout1_slee_2,seagrass,Saiki
s2215_2_kw2209_wout1_slee_3,seagrass,Saiki
s2215_2_kw2209_wout1_slee_4,seagrass,Saiki
s2215_2_kw2209_wout1_slee_5,seagrass,Saiki
s2215_2_kw2209_wout1_slee_6,seagrass,Saiki
s2215_3_kw2209_wout2_far_slee_1,non,Saiki
s2215_3_kw2209_wout2_far_slee_2,non,Saiki
s2215_3_kw2209_wout2_far_slee_3,non,Saiki
s2215_3_kw2209_wout2_far_slee_4,non,Saiki
s2215_3_kw2209_wout2_far_slee_5,non,Saiki
s2215_3_kw2209_wout2_far_slee_6,non,Saiki
s2212_nt_bmud_slee_1,seagrass,Noto
s2212_nt_bmud_slee_2,seagrass,Noto
s2212_nt_bmud_slee_3,seagrass,Noto
s2212_nt_bmud_slee_4,seagrass,Noto
s2212_nt_bmud_slee_5,seagrass,Noto
s2212_nt_bmud_slee_6,seagrass,Noto
s2212_nt_wout_slee_1,non,Noto
s2212_nt_wout_slee_2,non,Noto
s2212_nt_wout_slee_3,non,Noto
s2212_nt_wout_slee_4,non,Noto
s2212_nt_wout_slee_5,non,Noto
s2212_nt_wout_slee_6,non,Noto
s2312-1-nt230808-bmud-1,seagrass,Noto
s2312-1-nt230808-bmud-2,seagrass,Noto
s2312-1-nt230808-bmud-3,seagrass,Noto
s2312-1-nt230808-bmud-4,seagrass,Noto
s2312-1-nt230808-bmud-5,seagrass,Noto
s2312-1-nt230808-bmud-6,seagrass,Noto
s2312-2-nt230808-wout-1,non,Noto
s2312-2-nt230808-wout-2,non,Noto
s2312-2-nt230808-wout-3,non,Noto
s2312-2-nt230808-wout-4,non,Noto
s2312-2-nt230808-wout-5,non,Noto
s2312-2-nt230808-wout-6,non,Noto
s2213_tyo_bmud_slee_1,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_2,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_3,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_4,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_5,seagrass,Tokyo_HK
s2213_tyo_bmud_slee_6,seagrass,Tokyo_HK
s2213_tyo_wout_slee_1,non,Tokyo_HK
s2213_tyo_wout_slee_2,non,Tokyo_HK
s2213_tyo_wout_slee_3,non,Tokyo_HK
s2213_tyo_wout_slee_4,non,Tokyo_HK
s2213_tyo_wout_slee_5,non,Tokyo_HK
s2213_tyo_wout_slee_6,non,Tokyo_HK
s2214_ksz_bmud_slee_1,seagrass,Tokyo_KC
s2214_ksz_bmud_slee_2,seagrass,Tokyo_KC
s2214_ksz_bmud_slee_3,seagrass,Tokyo_KC
s2214_ksz_bmud_slee_4,seagrass,Tokyo_KC
s2214_ksz_bmud_slee_5,seagrass,Tokyo_KC
s2214_ksz_bmud_slee_6,seagrass,Tokyo_KC
s2214_ksz_wout_slee_1,non,Tokyo_KC
s2214_ksz_wout_slee_2,non,Tokyo_KC
s2214_ksz_wout_slee_3,non,Tokyo_KC
s2214_ksz_wout_slee_4,non,Tokyo_KC
s2214_ksz_wout_slee_5,non,Tokyo_KC
s2214_ksz_wout_slee_6,non,Tokyo_KC
s2306_hkt_bmud_1,seagrass,Hakata
s2306_hkt_bmud_2,seagrass,Hakata
s2306_hkt_bmud_3,seagrass,Hakata
s2306_hkt_bmud_4,seagrass,Hakata
s2306_hkt_bmud_5,seagrass,Hakata
s2306_hkt_bmud_6,seagrass,Hakata
s2306_hkt_wout_1,non,Hakata
s2306_hkt_wout_2,non,Hakata
s2306_hkt_wout_3,non,Hakata
s2306_hkt_wout_4,non,Hakata
s2306_hkt_wout_5,non,Hakata
s2306_hkt_wout_6,non,Hakata
s2311-bay1yng-okyJuly23-bmud-1,seagrass,Okayama_Y
s2311-bay1yng-okyJuly23-bmud-2,seagrass,Okayama_Y
s2311-bay1yng-okyJuly23-bmud-3,seagrass,Okayama_Y
s2311-bay1yng-okyJuly23-bmud-4,seagrass,Okayama_Y
s2311-bay1yng-okyJuly23-bmud-5,seagrass,Okayama_Y
s2311-bay1yng-okyJuly23-bmud-6,seagrass,Okayama_Y
s2311-bay1yng-okyJuly23-wout-1,non,Okayama_Y
s2311-bay1yng-okyJuly23-wout-2,non,Okayama_Y
s2311-bay1yng-okyJuly23-wout-3,non,Okayama_Y
s2311-bay1yng-okyJuly23-wout-4,non,Okayama_Y
s2311-bay1yng-okyJuly23-wout-5,non,Okayama_Y
s2311-bay1yng-okyJuly23-wout-6,non,Okayama_Y
s2311-bay2gej-okyJuly23-bmud-1,seagrass,Okayama_G
s2311-bay2gej-okyJuly23-bmud-2,seagrass,Okayama_G
s2311-bay2gej-okyJuly23-bmud-3,seagrass,Okayama_G
s2311-bay2gej-okyJuly23-bmud-4,seagrass,Okayama_G
s2311-bay2gej-okyJuly23-bmud-5,seagrass,Okayama_G
s2311-bay2gej-okyJuly23-bmud-6,seagrass,Okayama_G
s2311-bay2gej-okyJuly23-wout-1,non,Okayama_G
s2311-bay2gej-okyJuly23-wout-2,non,Okayama_G
s2311-bay2gej-okyJuly23-wout-3,non,Okayama_G
s2311-bay2gej-okyJuly23-wout-4,non,Okayama_G
s2311-bay2gej-okyJuly23-wout-5,non,Okayama_G
s2311-bay2gej-okyJuly23-wout-6,non,Okayama_G
s2314-1-ktk230802-bmud-1,seagrass,Kitsuki
s2314-1-ktk230802-bmud-2,seagrass,Kitsuki
s2314-1-ktk230802-bmud-3,seagrass,Kitsuki
s2314-1-ktk230802-bmud-4,seagrass,Kitsuki
s2314-1-ktk230802-bmud-5,seagrass,Kitsuki
s2314-1-ktk230802-bmud-6,seagrass,Kitsuki
s2314-2-ktk230802-wout-1,non,Kitsuki
s2314-2-ktk230802-wout-2,non,Kitsuki
s2314-2-ktk230802-wout-3,non,Kitsuki
s2314-2-ktk230802-wout-4,non,Kitsuki
s2314-2-ktk230802-wout-5,non,Kitsuki
s2314-2-ktk230802-wout-6,non,Kitsuki